,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
10,Fa3fgBqC5pc,FILTHYFELLAS,"MILES IS BACK!!! ""WHEN I TWEET THE STREETS LISTEN!!!"" | NO RULES SHOW WITH SPECS GONZALEZ","MILES is back in the NO RULES ARENA to let us know his social media strategy for 2023, his problem with the No Rules Brand, WWE, hustlers on YouTube, working at GAP, Lippy not being a baller and a whole lot more with SPECS GONZALEZ and TEGO.

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['TEGO SIGEL', 'SPECS GONZALEZ', 'MILES', 'MILES FEARON', 'NO RULES SHOW', ""THERE'S NO RULES"", 'FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'PODCAST', 'PIPE CAST']",2023-04-14T16:00:02Z,95453,1555,,125,PT1H46M8S,hd,false
11,5hGGAslvEXk,FILTHYFELLAS,TOP 10 MIDFIELDERS IN THE PREMIER LEAGUE 2022/23!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

You asked for it and we delivered, Big Daz aka Braveheart aka Devonte aka Mr Not So Easy makes his return to the FILTHY @ FIVE panel to discuss the most contentious position in the Premier League - the midfield! From defensive to attacking, from deep-lying to number 10s, we are going to work out who the best of the best in the best of the best league is in the 2022/23 season. DAZZA is joined by LIPPY, SPECS GONZALEZ, MILES, SAVAGE DAN, MARGS, JORDY and TEGO.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate","['FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'DAZZA', 'SPECS GONZALEZ', 'MILES', 'LIPPY', 'SAVAGE DAN', 'MARGS', 'TEGO SIGEL', 'JORDY', 'FOOTBALL', 'MIDFIELDERS', 'TOP 10 MIDFIELDERS', 'PODCAST']",2023-04-12T16:00:09Z,172003,2986,,687,PT1H20M20S,hd,false
12,zGpivlBnc8w,FILTHYFELLAS,IS ERLING HAALAND ACTUALLY THE BEST STRIKER IN THE PREMIER LEAGUE??? | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

We just got a lesson in goalscoring from Andy Cole, so now it's time to put that education to the test by counting down the TOP 10 STRIKERS IN THE PREMIER LEAGUE TODAY. Of course when we say strikers we mean front man, because there are so many forwards who are withdrawn, false, inverted and Chris Wood. So a returning LIPPY joins SPECS GONZALEZ, MILES, PK HUMBLE, MARGS, JORDY, POET and TEGO for what many are calling a stone-cold-classic.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate","['FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'FILTHY FELLAS PODCAST', 'LIPPY', 'POET', 'SPECS GONZALEZ', 'SPECS', 'MARGS', 'JORDY', 'TEGO SIGEL', 'PK HUMBLE', 'MILES', 'COMEDY', 'STRIKERS', 'ERLING HAALAND', 'TOP 10 STRIKERS', 'HARRY KANE']",2023-04-05T16:00:00Z,156313,2982,,747,PT1H10M,hd,false
13,or3sbE-XhJA,FILTHYFELLAS,DAZZA AND SPECS HAVE STARTED A BUSINESS!!!! | NO RULES SHOW WITH SPECS GONZALEZ,"The most consistent show on YouTutube is back again and it's the one you've been waiting for! Big Daz aka Braveheart aka Devonte aka Yellow Eyes Daz aka YED aka No Shoulders aka The No Rules Clothing CMO aka DAZZA is back where he belongs on the NO RULES SHOW with SPECS GONZALEZ to talk about starting a fashion empire, partying, being famous, falling in love with fans and more.

Buy the limited edition NO RULES SOCKS now at filthyatfive.com 

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['DAZZA', 'BIG DAZ', 'SPECS GONZALEZ', 'NO RULES SHOW', ""THERE'S NO RULES"", 'TEGO SIGEL', 'NO RULES SOCKS', 'PODCAST', 'COMEDY']",2023-03-31T15:59:51Z,76090,1726,,160,PT1H26M39S,hd,false
14,-tzRWQscAHY,FILTHYFELLAS,ANDY COLE ON FILTHY FELLAS!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

The greatest football podcast on planet welcomes one of the greatest strikers of all time for a legendary episode. We'd hype it and tell you what was discussed, but rest assured it's all classic. Beef with this guy, goals against those guys, being lied to by the other guys, arguments with us guys... ANDY COLE joins PK HUMBLE, MARGS, JORDY, SPECS GONZALEZ, POET, MILES and TEGO for another classic.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['ANDY COLE', 'FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'MANCHESTER UNITED', 'PODCAST', 'INTERVIEW', 'COMEDY', 'BANTER']",2023-03-29T16:00:01Z,300197,5748,,577,PT1H39M50S,hd,false
15,P5v3DUS2RBw,FILTHYFELLAS,WHAT AGE MIKE TYSON COULD THEO BAKER BEAT IN A FIGHT?!?!? | NO RULES SHOW WITH SPECS GONZALEZ,"The run continues as SPECS GONZALEZ welcomes YouTube legend THEO BACKER to the NO RULES SHOW arena. The PITCHSIDE star talks Mike Tyson, shoulder shaking, John Cena and more...

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['SPECS GONZALEZ', 'TEGO SIGEL', 'THEO BAKER', 'FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'NO RULES SHOW', 'NO RULES', ""THERE'S NO RULES""]",2023-03-24T17:03:28Z,61465,1164,,115,PT1H7M10S,hd,false
16,YNf1wh-x78U,FILTHYFELLAS,FOOTBALL FASCISM!!! TRYING TO SET 'CAN'T CROSS' LINES IN FOOTBALL!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

It's international break and we wanted to try and do something funny, so we jumped on the Gary Lineker wave and called out some fascism. Except it was our own and we don't exactly know what fascism is and once we figured it out we realised it's tough to make jokes out of. But we did it any way with PK HUMBLE, JORDY, STEVO THE MADMAN, SAVAGE DAN, MARGS, MILES and TEGO.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['FILTHY FELLAS', 'FILTHY @ FIVE', 'FILTHYFELLAS', 'STEVO THE MADMAN', 'PK HUMBLE', 'JORDY', 'JORDYINIT', 'TEGO SIGEL', 'SAVAGE DAN', 'MARGS', 'MILES FEARON', 'FOOTBALL FASCISM', 'PODCAST', 'PIPECAST', 'FOOTBALL']",2023-03-22T17:00:13Z,115091,2337,,401,PT1H8M44S,hd,false
17,IF6cuczCeY4,FILTHYFELLAS,"CALFREEZY'S DAD CAUGHT HIM WATCHING A DIFFERENT VERSION OF ""THE MATRIX"" | NO RULES SHOW WITH SPECS","One of the kings of podcasting in the UK, CALFREEZY joined SPECS GONZALEZ and TEGO on his first ever PIPE CAST to talk about being caught watching a different kind of Matrix film, WWE, KSI's headshape, asteroids, Rishi Sunak and more...

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['CALFREEZY', 'SPECS GONZALEZ', 'THE FELLAS', 'FILTHY FELLAS', 'FILTHYFELLAS', 'TEGO SIGEL', 'PODCAST', 'PIPECAST', 'PIPE CAST', 'NO RULES SHOW', ""THERE'S NO RULES""]",2023-03-17T17:00:09Z,77443,1646,,117,PT1H12M31S,hd,false
18,2eu6FWsy8Xg,FILTHYFELLAS,WHO IS THE BEST PLAYER AT EVERY PREMIER LEAGUE TEAM??? | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

We have many classic episodes here at Filthy and some come out of absolutely nowhere. As we sort through the best player at every Premier League team in as serious a fashion as we possibly can, we see a late substitution of SPECS for MARGS turn the show into pure anarchy. POET, STEVO THE MADMAN, JORDY, SAVAGE DAN, TEGO SIGEL and the aforementioned MARGS and SPECS make for an all-time episode.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['FILTHY FELLAS', 'FILTHY @ FIVE', 'FILTHYFELLAS', 'POET', 'MARGS', 'SPECS GONZALEZ', 'SPECS DRUNK', 'TEGO SIGEL', 'TEGO', 'JORDY', 'SAVAGE DAN', 'STEVO THE MADMAN', 'BEST PREMIER LEAGUE PLAYERS', 'BEST PLAYER ON EVERY TEAM', 'PODCAST', 'PIPECAST', 'COMEDY', 'DRUNK']",2023-03-15T17:01:20Z,218327,3939,,631,PT1H19M51S,hd,false
19,qiHhA3LZqsM,FILTHYFELLAS,JAMES ALLCOTT EXPLAINS WHY HE STOLE FROM SPECS!!! | NO RULES SHOW WITH SPECS GONZALEZ,"A thief, a crook and a bandit! JAMES ALLCOTT makes his NO RULES SHOW debut to talk SPECS GONZALEZ and TEGO SIGEL through is reasons for stealing their BBC show If Blackburn Signed Zidane and why he has no regrets and no respect. He also talked about Shoulder Shaking, Wrestling, crazy news stories and other things. But him being a thief was the number one topic. 

LISTEN TO JAMES ALLCOTT'S THE RIPPLE EFFECT ON SPOTIFY - https://open.spotify.com/show/3oxaX20iph21oA25UrQLGb
FOLLOW JAMES ALLCOTT ON TWITTER - https://twitter.com/jamesallcott

FOR THE FULL UNCENSORED NO RULES SHOW LISTEN ON APPLE PODCAST AND SPOTIFY

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['NO RULES SHOW', 'SPECS GONZALEZ', 'SPECZ', 'JAMES ALLCOTT', 'IF BLACKBURN SIGNED ZIDANE', 'FILTHY FELLAS', 'FILTHYFELLAS', 'FILTHY @ FIVE', ""THERE'S NO RULES"", 'PODCAST']",2023-03-10T18:00:07Z,55635,1262,,102,PT1H25M32S,hd,false
20,Xiap_rqf47U,FILTHYFELLAS,ARE MANCHESTER UNITED CRASHING BACK DOWN TO EARTH??? | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

We had a whole show planned for today and then Manchester United went and lost 7-0 to their rivals who they were sure were in the rear-view mirror a week ago. So talking through Liverpool's battering of Erik Ten Hag's men, the meaning of the Carabao Cup, the handing out of a few ""Micro-Interventions"" and more are POET, MILES, JORDY, MARGS, STEVO THE MADMAN, PK HUMBLE and TEGO SIGEL.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'STEVO THE MADMAN', 'STMM', 'STEVOTHEMADMAN', 'PK HUMBLE', 'JORDY', 'MARGS', 'MILES', 'MANCHESTER UNITED 0-7 LIVERPOOL', 'LIVERPOOL 7-0 MANCHESTER UNITED', 'LIVERPOOL 7-0 MAN UTD', 'COMEDY', 'FOOTBALL', 'PODCAST', 'PREMIER LEAGUE']",2023-03-08T17:00:43Z,121025,2538,,754,PT1H10M8S,hd,false
21,RdQzrRrJVlc,FILTHYFELLAS,THE PODCAST IS DEAD!!! LONG LIVE THE PIPE-CAST!!!! | NO RULES SHOW WITH SPECS GONZALEZ AND JORDY,"NO RULES SHOW is back for its 8TH WEEK IN A ROW!!! The official/unofficial third NO RULES SHOW member JORDY joins to talk about the death of the podcast and the birth of the Pipe-Cast, WWE being better than it has in years, hypothetical relationship scenarios, shoulder shaking and more...

FOR THE FULL UNCENSORED NO RULES SHOW LISTEN ON APPLE PODCAST AND SPOTIFY

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.",,2023-03-03T18:00:05Z,67009,1263,,94,PT1H22M34S,hd,false
22,T-Bt6o2cXtM,FILTHYFELLAS,CHAMPIONS LEAGUE KNOCKOUT STAGE 2022/23 DRAFT!!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

The Champions League does not have any d***head teams left in it, so the boys decided to draft only from the best of the best in Europe. Two players per team, best XI wins. Stevo The Madman, Specs Gonzalez, Miles Fearon, Margs, Jordy, PK Humble and Tego Sigel make their selections.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.",,2023-03-01T16:59:54Z,167216,2641,,471,PT1H17M32S,hd,false
