,video_id,comments
10,Fa3fgBqC5pc,"['""It\'s the Gemini in me.....I don\'t even care about star signs.""\n\nIs this guy unwell?', 'Best trio ever😂', 'Specz hoodie is 👌🏼', 'Manga would be the perfect guest for the Rikishi Shakur segment.', 'Miles in NO RULES environment is really cool to listen to, Miles in FF environment is nightmare, but fun! i cant decide which one i prefer!', 'The video cuts made me feel sick rather a straight pan shot off the ironing board....', 'Upload new filthy boys it’s wens 6 oclock', '1:05:53 Paige', ""'4 africans, 2 white guys, 2 somalis'. Are somalis not african LOL?"", 'Bringing treats from Canada for review']"
11,5hGGAslvEXk,"['tego chats soo much shit..how you comparing ilkay to lavia', 'Anyone arguing that Gundogan is not in the top 10 has had an exponential howler', '50:31 We need a my-bad from Lippy for this Casemiro take', 'What a rubbish show... casemiro and bruno 6th and 7th? 😂😂', 'The hate on City players is CRAZYYYYYY🤦🏾\u200d♂️', 'I’m a United fan, don’t get me wrong I love Bruno, but he is overrated that’s just a fact', '“Am I gonna keep giving him condoms? I need to spread my cake” 😂💀 fs specs ahha', 'When it come to gundo and that man miles said he’s not it, what’s he doing? I can’t take this bum serious.', 'This list was a shambles, I don’t know what these man were talking about half of the time', ""42.34- This didn't age well, Tego needs to just keep ref'ing and not give takes.""]"
12,zGpivlBnc8w,"['These guys don’t rate Julian Alvarez? Man these guys are tweekin big time.. no longer watching this show.', 'These brothers dont know ball😅', 'which episode is it when specs disses toney for betting, im trying to find that clip', 'I wish you would have done this ep after the arsenal city game then watch who is the baller', ""These guys are idiots.    \n\n\nYes Haaland is not a great technical player, his job is to score goals. If kane was so good they'd have won something.\n\n\nHaaland will literally get 3 chances a game and score all 3..."", 'At 15 mins in I thought my phone was gonna explode', '44:30 😂😂😂😂', 'The Miles redemption arc is crazy', 'Tego differently think he got better ball knowledge than everyone when he is top 2 worst', 'I actually agreed with Miles for once on most of his points']"
13,or3sbE-XhJA,"['Specs said Margs looks sick 😢😢😢😢', '2:00 dazza is kept hanging by T 😅😅😅', 'this episode should have been called ""DAZZA TALKS""', 'Underrated pod', '40:00 he violated Poet 🤣', 'Specs, how you always tellin man to check ya mirrors when ya hit a cyclist 😂😂😂', 'Dazza the goat', 'this stuff cures my depression I SWEAR. love to you man (not I love you loool shout out Dazza)', '3rd watch in less than a week 😂 this ep is gold. Man like Big Daz 😂', 'You should put more ads in']"
14,-tzRWQscAHY,"['This was class', 'Specs is right. Cole was on MOTD every week. It was relentless', 'Love how arsenal fans hated pundits saying city will win league, taking it personally.  They were all correct.', 'Wow Cole called the league with 10 games left. The OGs are wise.', 'Nah how didnt Cole catch Tego say ""Everything bulging"" thats a madness lmao Specs was waiting for a reaction', ""When you think about big clubs Andy Cole's era tells you about how large Man United is. These guys owned Asia in '95"", 'Andrew Cole', 'Loooooool what is PK on', 'Man like Andy Cole ya na.   Legend.   Love it 👊🏽👊🏽👊🏽', 'UTR Lesgoooo baby ‼️ MOTM the youtube legend johny boy 💯']"
15,P5v3DUS2RBw,"['Get Dazza back on', 'We need a Headie n RV episode the jokes Specs would make over that hour or so would be immense loooool😂😂😂😂', 'How many times u changing the title', 'Worst podcast on yt, man pushing 40s talking about other grown men touching themselves and wrestling', 'Theo had no idea what specs was talking about 😭', ""I really didn't expect to find this one that funny but this episode had me bussin up 😂 everyone was on top form."", 'Oi big up tego for that knowledge on oil companies and former MPs', 'For people who hate America you guys talk about America a lot lmao', '42:30 Lets not forget John Cena was a Smackdown Wrestler, not a RAW guy', 'Cena is defo not out selling Stone Cold even at their ages today.']"
16,YNf1wh-x78U,"['I thought this was known? - City and Arsenal are European minnows.', 'Miles got the IQ of a bar of soap. Man comes out with complete howlers. Chats so much waffle', '56:42 swear cuz I’m from Montserrat I need that call up', '56:13 Montserrat', 'Mike Edwards didn’t win big brother Nigeria, he came second', 'Justice for the Somalis!', 'Lippy or specs in an episode is needed, preferably both cah this is dry', 'I totally forgot all Americans have southern accent lmao.', ""33:20 Juventus won the Champion's League in 1995/1996"", 'Football Fascism - I wanna see it offs like in the nba, jus get a sub to kick the ball into the pitch and someone like Rodri and Fabinho jus scrap for that ball, I want pure utter chaos']"
17,IF6cuczCeY4,"['(I’m a Pakistani) and I felt offended by the comment initially. Now seeing KSI’s apology video, I feel that it was sincere and that he is doing the right thing wholeheartedly, followed by the actions he mentions. Hopefully he comes through with that and the youth can learn a thing or two.', 'I’m not gonna lie the hardest football bar was from santan when he said “tell your girl not to force it, cause I do not treat her fancy, I make your girl come round n go low now I just call her Kante” 🔥 that will forever be one of the best football bars', 'Those glasses are unreal. Anyone know what they are?', 'We need a Specs and Theo Von collab one day', 'Everyone here uses banks tego and its closer to 30% without passports, its mostly domestic travel\n\nEdit: nobody reading this shit', '12:08  dig at filly🤣🤣🤣🤣🤣🤣🤣😭😭😭😭😭😭😭', '😂😂we need Deji on here', 'Specs looking like the black joe goldberg', '@53:38 Nahh they need to lowe Blanco his daily duppy was hard\n“If your diamonds dance like pogba” is way harder den “I was on the wig like Hazard”', 'Lana Rhoades fake booty is beautiful']"
18,2eu6FWsy8Xg,"['Poet really biased against United. His ball knowledge is shocking', 'Stevo looks mad out of place in every EPI he is on lol', 'Watching cos of Dan', 'haaland broke the pl goalscoring record and he is not even debated ffs', 'these man couldnt even think of sir alex ferguson when talking about genius football managers who could do it at any team from oxford to man u 😂😂😂😂😂😂 ferguson literally is the definition of that guy', 'Arsenal’s best player is definitely Bukayo Ødegaard Partey.', '41:51 the funniest thing I’ve ever seen on YouTube #toptier', 'Tiego pouring specs water when he first sat down, silently without making a big deal or telling him to drink it. That’s a real friend! Specs tipsy is funny though 😅', 'Specs is the 🐐', 'Specs is funnnnnnnnny!! 😂😂']"
19,qiHhA3LZqsM,"['I ain’t even watched this yet, but fucksake I’ll die laughing if specs asks James if he shoulder shakes.. honestly 😂😂😂', 'consistency lets goo', 'T was elite this show. Great perspective', 'Tego’s answer to the dinner table question was 👌🏽', ""I really didn't think they'd talk about personal pipes for so long. Class"", 'Dude cant even explain what his shows about 😂 i still havent got a scooby', 'that desiree comment got criminally overlooked', 'James is a nice guy man, don’t agree with all of his football opinions but it’s great to see someone doing well in the scene that’s very clearly a good dude.', 'STEVE STEVE STEVE', 'Bro specs is too ducking funny 😭😂 the best answer I’ve heard for the dinner party question']"
20,Xiap_rqf47U,"[""Brother, I don't want to generalize but fans in England takes winning a local cup and top is a good season in Spain that's a manager goodbye I'm talking about big teams"", '8:56', '6:03', ""Also, Arsenal's last time in the EFL Cup final was 2018 where they lost 3-0 to City"", 'Tego, Jesus H Christ. Guy spent about 30 minutes making a non-point about the Carabao. 🤦\u200d♂', ""Rico Lewis doesn't start for City??? So why is Cancelo at Bayern???"", 'Tegos head was getting shinier by the minute', 'Tego is jarring man, #TegoIntervention necessary. Miles and poet won this one by far', 'tego lost hahaha', ""They should've talked more about United losing 7-0 instead of spending most of the episode talking about the Carabao cup.""]"
21,RdQzrRrJVlc,"['How can Specs say Ice Spice reminds him of Robert Earnshaw 💀', 'Imagine sitting on a plane in a snow suit 😂', 'Thamesmead smell is the sewers', 'NW smell is the met line', 'Jeff Hardy is a failed wonderkid', 'These wrestling takes are horrific from specs', 'Im from Brum it stinks of cannabis not complaining tho', 'Poor kritical 😂', ""Take a video about this , The world is now ruled by one community of people, the world Satanic elite, you can also call them the committee to meet the Antichrist and prevent the 2nd coming of Jesus, Trump called them the deep state, at the moment it consists of about 10,000 people, the main ones there are Rockefellers, Rothschilds, Windsors, Baruchs, they, their ancestors, descendants and other people who enter there have the mark of Lucifer, which, if they bring the antichrist and do not allow the 2nd coming, they will receive eternal life after the x hour, and the rest of humanity, for all the time that they have lived, they won't get anything, so all people should know about the existence of a world government  (Jesus who was a The Prophet of God, not God.God will send Jesus as a reward to humanity, if humanity deserves it, for this it is necessary to fight Lucifer and his elite)"", 'That segment taking the mick out of bad podcasts. ☠️☠️☠️☠️']"
22,T-Bt6o2cXtM,"['""tumbombilish"" 😂', 'How Kane went before haaland is mad', ""did my man say stage two alzheimer's?"", 'stevo really said ‘like your mum’ & miles didn’t even clock 🤣', 'This was a very touchy episode everyone was nibbling 😂😂😂😂', 'Birth place of the Pipecast 😂', '58:35 bro I’m crying man🤣🤣🤣🤣🤣🤣 he said it so smooth', 'specs what a team name lmaoooo', 'specs and miles reaction to otamendi is poor, one of the best cb in the world rn, unbeaten in champs, top of the league and world cup winner', '58:38 who was that mum dig at? 🤔 specs or miles? 🧐']"
23,VknIlUgicuw,"['Nah ill never forgive jbl how he did rey mysterio ruined my childhood', 'I personally use to live next to Kritty for about 10+Years and whenever I hear Specs bring him up it\'s the funniest thing I\'ve ever heard 😂  I need to know the story of when Specz first met Kritty and his ""Thoughts"" Krittys big bro but I can\'t lie he\'s mad successful so nobody can\'t hate on him or get half the women he dates but bro the head is moving headerish I can\'t lie please keep talking bout Kritty my bad big bro but can\'t lie glad to comment🤣', 'I feel like Dre is sparking vince McMahon 😂😂 29:30', 'I need a real wrestling fan that still watches wrestling today to come on this show', '51:55 😂😂😂', 'Kritikal and Zac going for a header 😮', 'Lebron James is a billionaire', ""A bats eyes, they're blind tego hahahaha"", 'MORE LIPPY ANIMAL EPISODES', 'the click bait faces on the thumbnails stink.']"
24,PTSbVYRXIVA,"['Whoever said martial DOES NOT know ball', 'These shouts get worse and worse', 'Sancho did well to escape a mention.', 'How theese not say Tom Davies name once', 'Scottish players getting picked for half the teams??????', 'Adams being the worst at Southampton is a howler, far better then Armstrong', 'Stevo is nearly 40😭', 'I can’t believe saint maximin got slandered this much', 'Margs and Stevo r dumb man', ""Rob Holding is by far Arsenal's worst player and only Miles said it. These lot are clueless.""]"
25,p3RQ8krtAag,"['What are those glasses called?', '3 Shots of Tequila and 90s Baby Show would be amazing line ups', 'Billy The Goat tag team with Jordy. \nSavage Dan tag team with Skitz.', 'Space and dinosaurs….. \nforget your programming bruddas. You still ain’t found out the earths flat…', 'DOUBLE DECKER RANGE ROVER!!!! The imagery 🤌🏽', 'Specs what do we call women with Red hair', ""21:00 Specs: They're not butterz but God was on the phone"", 'Bmt I knew jordy was a bo bandit', ""The consistency is really consisting u love to see it man hopefully u lot keep it up I'd love if we ended the year with 52 episodes tbh😅😅"", 'We need a solo margs no rules ASAP 😂']"
26,F2WsIvNWn2w,"['This aged like milk', 'I\'m not gonna there are bare waffles bro, Joao Félix in February top 3 worst? And considering haaland as a bad signing even if he scores 40 goals? You all have lost it, and mudryk is bad because of the they signed him not because Chelsea coaching is a mess,? Enzo is not a good signing?weston mckennie is a joke a champions league player? Yeah man you all jokes 😂y\'all don\'t watch football, Joao Félix with Atlético de Madrid was 20 when they won the league 31 league games in a system that doesn\'t suit him and, thinking that griezman was playing at Atlético that time, y\'all are Prem merchant watchers again you think football only exist in UK, ""Prem proving"" ""done in the prem"" and man like Hazard warming the bench ffs man you all are jokes ting', 'No mention of Clint Dempsey when talking good american players!', 'here for savage Dan', '48:07 omds Dan has man crying🤣🤣🤣🤣🤣🤣🤣🤣 man said it so unprovoked lippys adlibs are rudeeee', ""The video cuts out at 1:06:30. It's not the first time this has happened. Maybe it was an editing mistake."", 'Firmino is liverpools second top scorer with all them games he’s missed this season. Defo not on his way out. Need to get rid of a few players tho. Gakpo 2 in 2 found his rhythm?', 'gakpo 2goals in 2games go spend this energy on all those chelsea bums, you arse clowns!', 'Weghorst grafts and creates space/opportunities for everyone else. Specs is right. You can’t cop a top class striker in January', 'We need a draft!!!!']"
27,V_7bq1JJ8Ss,"['No way Tego is going on 6”6 on just vegetables', 'Father Jim at Blessed Sacrament in Cally?? Nooooooooooooooo 😂', '35:31', ""Ballon d'Or bowcat issmad 🤣🤣🤣🤣🤣🤣🤣"", '“just get ready for natural disasters that’s all I’m gonna say” - Don E 1:19 🤔', 'Chips definition the best thing to come from potatoes', 'Specs hands are so dry they are a different color to his face', '49:31 😭😭😭😭😭', 'Tego moved past specs’ comment too quick I need that potato gun story 😂😂', 'No remember Wrestling with Don E. I think you guys missed a trick. His knowledge seems A1']"
28,fMrYRO9a5LE,"['4:45 he wasn’t even right about that 😂😂😂', 'Sue Ryder 😂 they know it’s Sue Barker no?', 'As of right now and if we win the league with his contributions, gotta be trossard', 'This was so cringe i struggled watching', 'Here after Jorginho\'s goal against villa.... i need ""my bads"" all around', 'See the only reason I hate Arsenal is because of the man on filthy, irl I rate them', 'Ngl i watch this show for the banter cus’ these man have 0 ball knowledge', 'You lot should make a team full of captains! Who would lead and be the captain 🧐', 'Who tf is saisaydoe??', 'Lol the way these boys talk about united 🤣..especially them arsenal boys lol']"
29,D-njO_JnUhE,"['😭😭😭', 'Got a pornstar on the show and it has less views haha class', 'NoRule need their own Channel for this STUPIDITY', 'This episode is gunna make bare people lock their doors n lower their hands boi this was jokes looooool😂😂😂😂', '15:13 Specs is in a trance 😂😂😂', 'Went to research her work. #SeriousProblem 😅🤣', 'There was one point in the video Tiego’s face had me cracking up', 'Specs, the gift that keeps on giving😂😂😂', 'Oi i am glad that you guys are doing more this is my fav one this year so far, and to funny', ""GSE's??? 😭""]"
30,HWeBKqhYvnQ,"['Bro saka is shit', 'The way this episode started.  \nSpecs \n- “what is God doing?”\n- “is this allowed?”\n- “is that the building look wise”\n- Jordy - “it’s knuckleball God just tried something different”\nAnd then the bit on Spec’s mum. \n\nYou lot are fucked! I can’t wait to meet all you’s in hell! OMD! 😂😂😂😂😂', ""Wow the quality of right-wingers in the prem isn't that great"", 'Elanga is dead food', 'Saka is better than Mahrez man come on', '58:38 I can tell Margs was annoyed with Specs shouting.', 'Miles’ small man syndrome is craaaaaaazy', 'Specs actually stinks bro', 'Lippy "".....The Pele that\'s alive"" 😂😂😂💀💀💀', 'its salah end of']"
31,C7hInWNckt8,"['Cheekz favourite wrestlers STINK!!!', ""If Tego or any of the guys see this, please start a Patreon. I'd happily pay a fiver a month just to get the uncensored episodes."", 'Put em in the bus lane ! 😂😂😂', 'Horrendous casual takes in remember wrestling here, always thought tego new better but the edge/rvd takes were honking diarrhoea from you lot, cheeks got knowledge.', 'Seen this again specs this was your lot and NO ONE ELSE. IM OLDER THAN YOU BUT KNOW NO ONE from 14-18 GETTING PISSED ON ETC.The see saw one yep yep', ""Haven't seen the Matrix 🤯"", ""The thing Cheekz is saying about how they play Undertaker's Song when someone buys a bottle is true and it happens in South Africa today.. 🤣🤣 I've experienced it. Crazy"", ""Best remember wrestling EVER. Your wrestlers don't even have a story - just straight wrestling 🤣🤣🤣🤣🤣🤣🤣🤣"", 'We DESERVE savage dan Thailand story one more time !! 😅😂😂🙏🏾', 'Wheres Dazza Talks??????']"
32,Lx6-wUaHOeQ,"['Lippy hairline is funny 😂😂😂', 'Specs loves drowning in his howlers 💯🤽\u200d♂️', 'Your lucky we didt have 15 touches 😂😂😂😂', ""As an Arsenal supporter do you know how good it feels to hear and believe this moment 24:48 \n\nI just for that I hope no matter what, Chelsea still spend, City still don't budge, United are still the leaders, Liverpool are still Liverpool, Spurs are STILL shit (and it stinks worst than ever)... AND ARSENAL CANT STOP WINNING OHH THE STRESS 😂🤣"", 'Saka is similar to how Sterling was in the way he plays, no player like Mahrez in the league and we havent seen a player like Mahrez in the PL, that control by itself.', 'Specs doubling down on his moronicness and saying eddie is bad is horrendous', 'Is specs sure he supports arsenal 😂😂', ""Specs defo doesn't know ball 🤣👏🏽👏🏽👏🏽"", 'Martin Ødegaard 5 assists and Bruyne 11 assists stop the 🧢🧢🧢🧢🧢🧢🧢', 'What did you do in assemble apart from assemble']"
33,Hcr-f7UtNPY,"['Lippy got some mad knowledge and effortlessly funny 😁 This is one of the best man 👌😉❤️😎', '33:11 killed me 🤣', 'I got to a panda bear, umm, people’s elbow 😂💀', '“I’ve got clymidia, who gave me this” 😂😂 nah didn’t know speks was so funny man, can’t stop watching any podcast with this guy.. legend', ""Lippy's natural history knowledge impressed me big up man like Lippy. Everything he was saying was correct as well"", 'The hole episode is about animals how dead is that', ""Mammals my Gee's 😉"", 'This one episode I needed that I didn’t know I needed', '1:00:25', 'Rah Lippy is bare smart you know 😂']"
34,44gQCJegm9c,"[""This is specs at his very best! The guy is on point when he's in this bag lol true comedian"", '31 mins 41 secs in........specs is the sharpest', 'Leave me 🦅leeavee me 🦅😂😂😂', '17:20', 'Surprised no one picked mitoma', 'This was woeful', '18:48 ""Leave Me, Leave Me"" 😆 🤣', 'How did nobody pick Joelinton (Stevo has the best team)', 'This show is so disappointing sometimes. None of these lot know anything about football because some of these picks are howlers! This should be called best prem players pick not most IN FORM players pick.', 'Large up MIL']"
35,G1XcXbSHTT8,"['What are those glasses called?', '32:30', 'Chloes a legend loool bring her back', '46:30 😂😂😂😂😂', '41:00 😂 You guys got me fucked up, swordplay is C tier, you guys don’t even know about spear 😎', 'Loool you guys are tooo much loll', '10:16 lol', '10:23😂😂', 'Who’s this geezer that looks like Haaland', 'we wont let argentina have gibraltar back? what bruvt! hink you mean falklands, we also got north sea oil, china is fucked because they aint got no water and us has fertile land and cattle then anywhere else in the world. get it right looooooooool']"
36,SAQyVMh8qp8,"[""Lippy said you man are insecure, I'm a bad boy everywhere!! Gotta rate that self confidence"", 'Imagine sticking up for lampard 😂 him and gerrard are washed manager', 'How can Tego say, “the shouldn’t have won the champions league, they weren’t the best team in Europe”…. Lmao that’s the worst thing I’ve heard anyone say on a football show', 'I hate when Stevo talks about West Ham, feel like he barely watches us to know what is wrong at the club, and just agrees with what everyone else is saying.', 'This show would survive without Tego please boys break away hes holding you guys back.', 'Tego was spot on about City and Haaland lmao', 'Sure I can’t be the only one who remember that ep at the begining of the league where Tego said Perisic ain’t a winger for the prem and now saying he is one of the best spurs signings 👀😂', 'How can Poet be an Arsenal fan, but so anti-Arsenal? LMAO', ""Been watching Almiron since the Atlanta United days watched every home game in person he's that guy this isn't a purple patch. There's a reason the whole city loves him. He has the talent and the goal scoring ability but also will put in more effort than anyone else on the pitch and has the lungs to keep it up as well. Fantastic player it's great to see him getting back to his best this season"", 'Tego absolutely stinks']"
37,8LE7Vj_4UNw,"['Lumos coming in looking like murda mook 😂', 'Lippys high blud😂😂😂😂', 'Specz had a stinker this ep', 'Lippy the fruit was a Pomello, they’re leng!', '0:40 😂😂😂😂', '🤣🤣🤣🤣🤣', '51:34 this is why Specs is needed 🤣🤣😂😂😂', ""I acc dunno what Rashy has to do for u lot to juss respec his ting look how he’s playing rn the most goal involvements since ball after the WC in Europe scored 10 in 9 what more do u want from him ffs🤦🏾\u200d♂🤦🏾\u200d♂especially Poet the dinosaur the driest guy on the show tryna run his dinner lady jokes man put him bottom uno there’s no chance 10 man on the left are better than him😪😪if we're going off this season he has to be first only Martinelli can argue with him everyone else is nowhere near them two🤷🏾\u200d♂🤷🏾\u200d♂Tego u also had a stinker Real don’t play City they play Liverpool big man looooool😂😂😂😂"", 'Based on current form, potential and status\xa0;\n\n1 Rashford\n2 Martinelli\n3 Diaz\n4 Son\n5 Foden\n6 Garnacho\n7 Zaha\n8 Trossard \n9 Grealish\n10 Sancho\n\n(you can tell im a united fan)', 'Best midfielders ever and these lot argument for Africans is Patrick Vieira and Yaya Toure looool??? Love them both but they don’t even have a sniff of top 20 OAT']"
38,567cY491Cno,"['1:13:50', ""Honestly, worst tweeter award should have been a mobo between Poet and Skribz. I couldn't believe that they were cousins until I saw how they tweet."", '3:29', 'lippy choking on the biscuit killed me 😂😂😂😂', 'Man said “milk was a juice in my yard” 😂😂🤣 nahhh Lippy is the best', 'A man said…”I zoomed in on your ting and watched it for 5 minutes” someone tell specs his yutes are watching', 'when Jordy put the glasses on he looked like Junebug from Get rich or Die tryin', 'Hey filthy can the intros not be so long bruhhhh. Just get to it', 'jordy fat yute', 'MY HUSBAND IS A FAN SO THANKS TO HIM AND MILES FOR PROMOTING PURDEY’S ON THE PODCAST RELIGIOUSLY WHICH FORCED ME TO BUY IT EVENTHO I DONT LIKE IT 🎉']"
39,q67i04lW9oU,"['18:32\n1:07:50\n1:11:45', 'Kyle walker has been the best rb in since 2013 and I’m an arsenal fan. The guys been SOLID.', ""I'm saying dalot"", 'Margs that show was on British TV 100%', 'Deep cut but Loonz talked about Jayse and the Wheeled Warriors on his and Margs’ No Rules episode like a year ago', 'James 4th😂😂😂😂😂😂', 'Tego unbearable in this. 0 time for anyone else opinion and agenda on point again. Becoming a common theme', ""Haven't even watched this yet, but i know the best right back in the league this season won't even be top 5"", ""mitoma top 10 left backs in the league, ill be pissed if he's not included"", 'Had to come back to this eps, too many gems. Margs said “AWB was cooking” 💀']"
